# 频道列表格式说明：
# 1. 国家行：单独一行，格式为"国家名称+国家代码"（如"英国UK"、"中国CN"）
# 2. 频道行：位于国家行下方，格式为"tvg-id,tvg-name,备注"
# 3. #开头为注释，空行自动忽略
# 提示：tvg-id和tvg-name需从原始EPG中复制准确值


中国CN
Sky.Thriller.HD.uk,Sky Cinema Thriller UK,Sky Cinema Thriller
Sky.Drama.HD.uk,Sky Cinema Drama UK,Sky Cinema Drama
Sky.ScFi/HorHD.uk,Sky Cinema Sci-Fi Horror UK,Sky Cinema Sci-Fi Horror
Film4.HD.uk,Film4 UK,Film4
9419,GREAT! movies,Great Movies
9478,Cartoon Net HD,Cartoon Network
Sky.Comedy.HD.uk,Sky Comedy UK,Sky Comedy
12394,Sky Crime,Sky Crime
Channel4.uk,Channel 4 UK,Channel 4
Channel.5.uk,Channel 5 UK,Channel 5
BBC.World.News.North.America.(BBCWN).us,BBC News Channel HD,BBC News Channel
ITV1.HD.uk,ITV 1 UK,ITV 1
ITV2.HD.uk,ITV 2 UK,ITV 2
ITV3.HD.uk,ITV 3 UK,ITV 3
ITV4.HD.uk,ITV 4 UK,ITV 4


TNT Sports 1.uk,TNT Sports 1.uk,TNT Sports 1
TNT Sports 2.uk,TNT Sports 2.uk,TNT Sports 2
TNT Sports 3.uk,TNT Sports 3.uk,TNT Sports 3
TNT Sports 4.uk,TNT Sports 4.uk,TNT Sports 4
SkySp F1 HD.uk,SkySp F1 HD.uk,Sky Sports F1
SkySp Fball HD.uk,SkySp Fball HD.uk,Sky Sports Football
SkySp Golf HD.uk,SkySp Golf HD.uk,Sky Sports Golf
SkySp Mix.uk,SkySp Mix.uk,Sky Sports Mix
SkySp News HD.uk,SkySp News HD.uk,Sky Sports News
SkySp NFL HD.uk,SkySp NFL HD.uk,Sky Sports NFL
SkySp PL HD.uk,SkySp PL HD.uk,Sky Sports Premier League
SkySp Racing HD.uk,SkySp Racing HD.uk,Sky Sports Racing
SkySp Tennis HD.uk,SkySp Tennis HD.uk,Sky Sports Tennis
SkySp+ HD.uk,SkySp+ HD.uk,Sky Sports+
